Farm Name,County,Date Founded,Special Recognition
S & S Farms,Henderson,1847,
S and S Livestock Farm,Bedford,1903,
S.B. Mann Farm,Haywood,1871,
S.K. Alexander Farm,Greene,1836,
S.N. Catron Farm,Hamblen,1835,
S.S. Webster Farm,Smith,1919,
S/V Big Bend Farm,Jefferson,1905,
Saddle Cave Farm,McMinn,1899,
Sallie Creek Farm,Bedford,1899,
Sam Bishop Farm,McNairy,1903,
Sam Blair Farm,Loudon,1815,
Sam H. Davis Jr. Farm,Meigs,1881,
Sam J. Alsup Estate,Wilson,1809,
Sam P. Roark Farm,Hawkins,1798,
Sam S. Stephens Dairy Farm,Bledsoe,1816,
Samuel Bruce Slaughter Farm,Sullivan,1871,
Samuel Henry Farm,Blount,1808,
Samuel Raulston Farm,Marion,1841,
San Tee Farm,Robertson,1845,
Sanders Farm,Rutherford,1869,NR
Sandy-Delle Farm,Hamblen,1856,
Scharber Farm,Franklin,1866,
Scholes Farm,Humphreys,1850,
Schoonover Davidson Farm,Gibson,1913,
Schwartz Farm,Franklin,1868,
Scobey Farm,Dyer,1869,
Scott Family Farm,Marshall,1915,
Scott Farm,Meigs,1829,
Scott Hollow Farm,Maury,1887,
Scott Tabacco Farm,Trousdale,1888,
Scott's Orchard,Lincoln,1901,
Scruggs Homestead,Greene,1799,
Scruggs Place Farm,Monroe,1833,
Scudder Farms,Smith,1892,
Sells Farm,Pickett,1886,
Serendipity Farms,Lincoln,1911,
Serene Manor aka Cedar Crest,Blount,1807,
Seth Hutsell's Farm,McMinn,1849,
Seven Maples Farm,Perry,1917,
Seven Oaks Farm,Dyer,1903,
Shackelford Sons,Knox,1899,
Shady Grove McMahan Farm,Coffee,1915,
Shady Lane Farm,Johnson,1836,
Shady Lawn Farm,Sullivan,1880,
Shady Lawn Farm,Marshall,1898,
Shady Oaks,Hamblen,1860,
Shady Valley Farm,Marshall,1900,Woman Founder
Shagbark Farm,Giles,1892,
Shamrock Acres Farm,Coffee,1818,Woman Founder
Shankle-Scott Farm,Henry,1868,
Shanks Farm,Putnam,1859,
"Shanks-Terry Farm ""Walnut Hill""",Hawkins,1850,
Shannon Farm,Maury,1899,
Sharp Farm,McMinn,1858,
Sharp-Condry Farm (see Sharp-Hunter),Campbell,1841,
Sharp-Hunter Farm (see Sharp-Condry),Campbell,1841,
Sharpe Farm,Wayne,1887,
Shaw Farm,Haywood,1881,African American Founder
Shearron Farm,Cheatham,1861,
Sheffey Farm,Greene,1837,
Shelley Dairy Farm,Hamilton,1839,NR
Shepard Farm,Hawkins,1909,
Sherrod Farm,Crockett and Madison,1880,
Sherwood Green Farm,Williamson,1808,
Shipley Farm,Loudon,1853,
Short Farm,Williamson,1807,
Shultz Farm,McMinn,1902,
Shumate Farm,Lake,1856,
Sideline Fram,Greene,1895,
Sikes Farm,Madison,1920,
Silver Gate Farms,Weakley,1851,
Simcox Farms,Overton,1907,
Simmons Creekside Farm,Bedford,1921,
Simmons Farm,Claiborne,1859,
Simpson Farm,Hawkins,1916,
Sims Farms,Weakley,1920,
Sisco-Loveless Farm,Lewis,1906,
Slack Farm,McMinn,1871,
Slatton Farm,Van Buren,1910,
Slatton-Vance Farm,Van Buren,1910,
Sleepy Hollow Farm,Smith,1915,
Sloan Branch Farm,Smith,1893,
Sloan Farm,Smith,1818,
Smartt Farm,Coffee,1846,
Smiley-Fagan Farm,Marshall,1814,
Smith,Wilkerson Farm,1921,
Smith Brothers Farm,Williamson,1878,
Smith Brothers Farm,Wilson,1886,
Smith Farm,Dyer,1852,
Smith Farm,Pickett,1899,
Smith Farm,Smith,1868,
Smith Farm,Benton,1886,
Smith Farm,McMinn,1882,
Smith Farm,Warren,1909,
Smith Farm,Wilson,1817,
Smith Farm,Davidson,1815,
Smith Hollow Road Farm,Lincoln,1825,
Smith-Wilson Farn,Macon,1917,
Smith-Wright Farm,Weakley,1909,
Smithland Farm,Madison,1900,
Smiths Farm,Rutherford,1871,
Smoky Hollow Farm,Robertson,1888,
Snider,Weakley,1854,
Snider Farms,Henderson,1822,
Soloman Farm,Greene,1829,
Southerland Farm,Greene,1900,
Southern Breeze Farm,Greene,1914,
Sparkman Farm,Van Buren,1905,
Spear Farm,Clay,1910,
Spence Farm,Crockett,1861,
Spencer Brothers Farm,Fayette,1907,
Spivey Farm,Madison,1849,
Spring Creek Farm,Wayne,1911,
Spring Forrest Farm,Dickson,1808,
Spring Hill Dairy Farm,Bedford,1842,
Spring Hill--The Spencer Eakin Farm,Bedford,1842,NR
Spring Hollow Farm,Sevier,1900,
Spring Hollow Farm,Sevier,1923,
Spring Meadow Farm,Knox,1842,
Spring Mount Farm,Hickman,1810,
Spring Valley Farm,Hardin,1911,
Springdale Farm,Loudon,1827,
Springhouse Farm,Jackson and Smith,1872,
Sprouseland Manor,Robertson,1867,
St. John Farm,Washington,1866,NR
Stainback Farm,Robertson,1846,
Stallings Farm,Smith,1916,
Standing-Stone Farm,Overton,1896,
Star Rock Farm,Smith,1868,
Stark Brothers Farm,Robertson,1921,
Stately Oaks,Robertson,1858,
Steel Magnolia Farm,Madison,1883,Woman Founder
Steele Farm,Smith,1849,
Steele Farm,Dickson,1866,
Stenberg Cattle Farm,Davidson,1899,
Stephens Farms,Blount,1904,
Steve Rogers Dairy,Claiborne,1844,
Stevens-Manning Farm,DeKalb,1892,
Stevenson Farm,Lincoln,1899,
Stewart Farm,Lincoln,1907,
Stewart Farm,Haywood,1882,
Stewart Farms,Meigs,1825,
Still Hollow Farm,Greene,1857,
Stinson Farm,Macon,1897,
Stockton Farm,Overton,1851,
Stokes-Wood Farm,Benton,1900,
Stone Creek Farm,Sequatchie,1907,
Stone Farm,Obion,1876,
Stone Farms,Clay,1901,
Stone Hollow Farm,Dickson,1905,
Stone-Rives Farm,Moore,1900,
Stonewall Heritage Farm,Smith,1896,
Stony Acres,Hancock,1875,
Storie Farms,Pickett,1900,
Stow Hill Farm,Weakley,1830,
Stow-Ha-Wa Farm,Bedford,1842,
Strawberry Ridge Farm,Sullivan,1839,
Strickland Place,Robertson,1903,
Strickler Farm,Sullivan,1880,
Stubblefield Farm,Warren,1814,
Stults Farm,Wayne,1867,
Sudbury Acres,Dyer,1848,
Sugartree Farm,Robertson,1884,
Sugg Farm,Dickson,1851,
Sugg Farm,Rutherford,1853,
Suits U.S. Farm,Hamblen,1856,
Sullivan Farm,Dickson,1796,Pioneer Century Farm
Sullivan Farm,White,1814,
Sullivan Givens Farm,Williamson,1904,
Summer City Farm,Bledsoe,1902,
Summershade Farm,Montgomery,1875,
Sun Rose Dairy,Lincoln,1909,
Sun Valley Farm,Cannon,1879,
Sundale Farm,Wilson,1847,
Sunlit Hill Farm,Smith,1795,Pioneer Century Farm
Sunnyside Farm,Washington,1807,
Sunnyside Farm,Lincoln,1837,
Sunnyview Farm,Hamblen,1912,
Sunrise View Farm,Coffee,1894,
Susong Farm,Greene,1862,
Sutton Farm,Crockett,1912,
Sutton Farms at Difficult,Smith,1850,
Sutton Hollow Farm,Jackson,1895,
Swafford Ranch,Bledsoe,1836,
Swain Farm,Wilson,1909,
Sweatt Farm,Dyer,1844,
Sweatt Farm,Henry,1858,
Sweezy Farm,Clay,1885,
Sycamore Stock Farm,Johnson,1797,
Sycamore Terrace Farm,Greene,1825,
Sycamore Valley Farms,Cheatham,1859,
Sydney Bryant Ray Jr. Farm,Shelby,1870,
Sykes Farm,Madison,1822,
Syler 7 Farm,Moore,1903,
Sylvan Ridge Farm,Fayette,1834,
T & W Farms,Loudon,1798,
T. A. Austin Homeplace,Dyer,1920,
T.K. Watkins Farm,Wilson,1904,
T.L. Sissom Farm,Grundy,1868,
Talley Farm,Hawkins,1889,
Talley's Pleasant Valley Farm,Marshall and Lincoln,1817,
Talley's Pleasant Valley Farm and Vineyard,Marshall,1817,
Tanasi Mist Farm,Sevier,1804,
Tanglefoot Farm,Maury,1816,
Tanglewood Farm,Smith,1884,
Tarpley Farm,Rutherford,1871,
Tarwater Farm,Sevier,1857,
Tate Farm,Sumner,1902,
Tate Farms,Marshall,1920,
Taylor Carmack Ogletree Farm,Overton,1827,
Taylor Farm,Carroll,1870,
Taylor Farm,Hamblen,1798,
Taylor Farm--Beulah Land,Benton,1838,
Taylor Homeplace Farm,Madison,1878,
Taylors' Farm,Polk,1839,
Teague Farm,Fayette,1870,
Teeter Farm,Montgomery,1811,
Templeton Farm,Lincoln,1833,
Terre des Chenes,Crockett,1866,
Terry Farm,Trousdale,1868,
Terry Farms,Hamblen,1893,
The Arnold Farm at North Fork,Hawkins,1901,
The Beaty-Smith Farm,Overton,1884,
The Billy Rhea Robertson Farm,Trousdale,1899,
The Browning/Shearon Farm,Robertson,1919,
The Canter Farm,Smith,1919,
The Click Place,Cheatham,1902,
The Cornwell-Butler Farm,Smith,1901,
The Crouch Farm,Pickett,1904,
The EHM Farm,Gibson,1892,
The Gouldy Farm,Hawkins,1819,
The Gwinn Place,Tipton,1891,
The Homeplace,Gibson,1881,
The Homeplace,Haywood,1913,
The Homeplace,Henry,1821,
The Homeplace Farm,Davidson,1857,
The Homestead,Coffee,1844,
The Jack Batson Farm,Montgomery,1862,
The John Beasley Cherry Farm,Crockett,1908,
The Kinzer Farm,Maury,1870,
The Lazy D Farm,Giles,1818,
The Lynn Farm,Putnam,1917,
The Morgan Farm,Jackson,1881,
The Newton Place,Giles,1834,
The Ol' Ledford Farm,Montgomery,1880,African-American Founder
The Old Brick Farm,Jefferson,1792,Pioneer Century Farm
The Old Homeplace Farm,Coffee,1914,
The Old Myers Farm,Jackson,1835,
The Orricks Home Place,Hawkins,1877,
The Penn Hollow,Williamson,1913,
The Piper Farm,Smith,1895,
The Reed Place,Cheatham,1838,
The Rogan Farm,Hawkins,1917,
The Rose Farm,Hardeman,1917,
The Ross Place Farm,Obion,1904,
The Samuel Robinson Property,Johnson,1855,
"The Steele ""Holm"" Farm",Greene,1853,
The Swafford Legacy,Bledsoe,1902,
The Teague Farm,Marion,1852,
The Wilbert & Annie Enochs Farm,Humphreys,1911,
The Wright Place,Wilson,1866,
Thistledew Hills Farm (formerly Wallace Farm),Sumner,1785,Pioneer Century Farm
Thomas Family Farm,Roane,1917,
Thomas Family Farm,Putnam,1890,
Thomas Farm,McMinn,1828,
Thomas Farm,Henry,1910,
Thomas Farm,Coffee,1869,NR
Thomas Halbert Farm,Wilson,1913,
Thomas Jackson Farm,Rutherford,1811,
Thomas Jefferson Byrd Sr. Farm,Williamson,1920,
Thompson Angus Farm,Smith,1857,
Thompson Creek Farms,Hamblen,1839,
Thompson Family Farm,Hawkins,1920,
Thompson Farm,Overton,1913,
Thompson Farm,Hardeman,1828,
Thompson Farm,Knox,1845,
Thompson Farms,Sumner,1892,
Thompson Homeplace,Gibson,1841,
Thompson-Overton Farm,Henry,1875,
Thomsen Farm,Carroll,1895,
Three Brothers Ranch,Claiborne,1871 c.,
Three C Farm,Montgomery,1890,
Three Moore Acres Farm,Dyer,1892,
Tilghman-Rochelle Farm,Gibson,1843,
Tilley Farm,Robertson,1894,
Tim Mathis Farm,Hickman,1894,
Timberlake Farm,Henderson,1826,
"Tindell Farm ""North Side""",Maury,1887,
"Tindell Farm ""South Side""",Maury,1887,
Tinker Farm,Monroe,1914,
Tipton,Wilson,1818,
Todd Farm,Cannon,1855,
Tolar Farm,Dickson,1918,
Tollett Farm,Bledsoe and Cumberland,1908,
Tolliver Farm,Union,1908,
Tom Bell Farm,Dyer,1906,
Tomlinson Farm,Wilson,1893,
Tommy & Rebecca Kemmer,Cumberland,1860,
Tommy Smith Farm,Crockett,1852,
Tompkins Blacksmith Farm,Fentress,1910,
Tony Angus Farm,Rutherford,1891,African American
Tosh Farm,Gibson,1874,
Towry Farm,Lincoln,1904,
Tranquility Farms,McMinn,1909,
Treaty Hill Farm,Sevier,1783,Pioneer Century Farm
Trice Farm,Chester,1856,
Trice Homestead Farm,Wilson,1870,
Triple B-Bates Farm,Wilson,1910,
Triple D Farm,Sumner,1794,
Triple G Farm,Dickson,1877,
Triple H Farm,Greene,1908,
Triple J Farms,Montgomery,1874,
Triple S Farms,Monroe,1858,
Triple Stone Farm,Trousdale,1855,
Triple T Farm,Pickett,1832,
Tritt Place Farm,Crockett,1910,
Troutman Farm,Knox,1903,
Troxler/Prince Family Farm,Bedford,1919,
Trundle Farm,Sevier,1810,
Tuck Farm,Macon,1840,
Tucker Brothers,Macon,1878,
Tucker Farm,Perry,1818,
Tucker Farm,Macon,1878,
Tucker Place,Cannon,1860,
Tucker Place Farm,Haywood,1885,
Turner Farms,Fentress,1919,
Twelve Oaks Farm,Crockett,1872,
Twin Acres,Greene,1849,
Twin Cedars Farm,Houston,1833,
Twin Elms Farm,Marshall,1794,Pioneer Century Farm
Twin Springs Hereford Farm,Anderson,1805,
Tyler Farm,Henry,1856,
Upchurch Farms,Overton,1880,
Upchurch Hereford Farm,Henry,1859,
Utley Farm,Carroll,1907,
V.H. Pile Farm,Fentress,1901,
Vaden Farm,Crockett,1900,
Valley Breeze Farm,Hawkins,1791,Pioneer Century Farm
Valley Home Farm,McMinn,1825,
Valley View Farm,Williamson,1827,
Valley View Farm,Roane,1848,NR
Valley View Farm,Houston,1803,
Vallie Phillips Farm,Smith,1848,
Van Hooser Farm,Cannon,1880,
Vance Farm,Cannon,1840,
Vannatta Farms Inc.,Bedford,1850,
Varnell Farm,McMinn,1843,
Varnell's Dairy Farm,Bradley,1839,
Vaughan Farm,Gibson,1841,
Vaughan Farm,Hawkins,1913,
Vaughan Farm,Stewart,1838,
Vernie Love Homeplace,DeKalb,1923,
Vernon Farm,Shelby,1850,
Victoria LaRay Farm,Sevier,1795,
Vinson Farm,Cannon,1890,
Vise Farm 1,Decatur,1909,
Vise Farm 2,Decatur,1909,
Vivrett Farm,Wilson,1852,
W. B. Dye Farm,Sumner,1912,
W. D. Farms,Wilson,1913,
W. F. Collins Farm,Carroll,1849,
W. J. and Willie T. Arnold Farms,Franklin,1911,
W. J. Cole Farm,Carter,1919,
W.B. Walker Farm,Wilson,1858,
W.C. Harvey Farm,Montgomery,1868,
W.C. Morris Farm,Giles,1869,
W.E. Jones Farm,Montgomery,1879,
W.E. White Farm,Macon,1828,
W.F. Pierce Farm,Obion,1851,
W.L. Potts Farm,Giles,1868,
W.M. Edwards Farm,Claiborne,1879,
W.R. Reed Farm,Fentress,1904,
W.T. Matthews Farm,McMinn,1872,
Waddell Nolachuckey River Farm,Greene,1889,
Wade Farm,Henry,1876,
Waggoner Farm,Smith,1830,
Wagner-Worley Farm,Johnson,1790,Pioneer Century Farm
Wagoner-Stone Farm,Moore,1818,
Walker Farm,Stewart,1886,
Walker Farm,Williamson,1900,
Walker Farm,Wilson,1850,
Walker Farm,Bedford,1837,
Walker Farm,Lincoln,1860,
Walker Farm,Cheatham,1860,
Walker Farm,Obion,1872,
Walker Farm,Franklin,1837,
Walker Gamble Farm,Blount,1809,
Walker Hollow Farm,Marshall,1850,
Walker Place,Dyer,1839,
Walker Properties LLC,Blount,1908,
Walker-Freeman-Bell Farm,Gibson,1907,
Walker-Gamble,Blount,1809,
Wallen Farm,Claiborne,1870,
Walnut Corners,Chester,1851,
Walnut Flat Farm,Madison,1865,
Walnut Grove,Obion,1907,
Walnut Grove,Chester,1862,
Walnut Hill Farm,Robertson,1846,
Walt Smith Farm,Rhea,1919,
Walter Burch Farm,Fayette,1882,
Walters-Perkins Farm,Henry,1892,
Ward Farm,Decatur,1874,
Ward Farm,White,1873,
Ward Farm,Crockett,1872,
Ward Farm (also) Goddard Mountain II,Van Buren,1859,
Ward Frontier Land Farm,Trousdale,1807,
Ward Pioneer Land Farm,Trousdale,1807,
Warham Easley Cameron Farm,Jefferson,1901,
Warpath Farm,Blount,1809,
Warren Farm,Blount,1856,
Waters Farm,Meigs,1873,
Waters' Farm,Benton,1902,
Watkins Farm,Wilson,1908,
Watts Albert Farm,Cheatham,1919,
Wayne Shearon Farm,Cheatham,1813,
Wayside Farms,Bedford,1838,
WBY Farm,Gibson,1827,
Weatherington Farm,Hardin,1909,
Weaver Farm,Franklin,1911,
Webb Brothers Farm,Polk,1880,
Webster Farm,Dyer,1887,
Wedge Oak Farm,Wilson,1903,
Wehman Farm,Obion,1853,
Welch Farm,Henderson,1860,
Welch Farm,Grainger,1832,
Welch Farm,Carroll,1832,
Welcome Home Farm,Dickson,1919,
Welker Farm,Montgomery,1854,
Welker Farm,Houston,1850,
Wells Farm,Overton,1852,
Wells Farm,Dyer,1910,
Wells-Adams Family Farm,Robertson,1866,
West Farm,Wayne,1923,Woman Founder
West Farm,Fentress,1919,
West Side Acres,Hamblen,1873,
Westbrook Farm,Humphreys,1918,
Wheatley Farm,Benton,1868,
Wheeler Farm,Cumberland,1869,
Wheeley Springs Farm,Macon,1850,
Wherley's Farm,Bedford,1827,
Whipperwill Hill Farm,Wilson,1833,
Whispering Hills,Greene,1850,
Whistle Top Farm,Maury,1819,
White Anderson Farms,Henderson,1882,
White Cloud Plantation-East,Giles,1866,
White Cloud Plantation-West,Giles,1866,
White Family Farm,Grundy,1855,
White Farm,Hamblen,1850,
White Farm,Macon,1828,
White Oak Farm,Smith,1918,
Whitehurst Farm,Haywood,1829,
Whitesell Farm,Obion,1859,
Whitetown Acres Farm,Hamblen,1835,
Whitlock Lazy Acres Farm,Warren,1917,
Whittenburg Farm,Pickett,1868,
Wiggins Place,Fayette,1859,
Wild Acres Farm,Rutherford,1825,
Wilder Painter Farm,Macon,1890,
Wiles Home Place,Marshall,1886,
Wiley Farm,Lincoln,1878,
Wiley Farm,Lincoln,1914,
Wiley Farm,Lauderdale,1908,
Wilkerson Farm,Smith,1921,
Will Huff Farm,Fentress,1910,
Willeford Farm,Overton,1909,
William and Luella Carter Farm,Lauderdale,1903,African-American Founder
William C. Tarwater Farm,Sevier,1855,
William E. Nichols IV Farms,Crockett,1868,
William Steele Farm,Williamson,1854,NR
Williams and Pile Farm,Fentress,1850,
Williams Cove Mountain View Farm,Franklin,1813,
Williams Family Farms,Weakley,1903,
Williams Farm,Pickett,1870,
Williams Farm,Dickson,1907,
Williams Farm,Hickman,1840,
Williams Farm,Wilson,1820,
Williams Farm (aka Kenthrease Farm,Fentress,1872,
Williams Wood,Haywood,1906,
Williams-Lonon Farm,Haywood,1902,
Williams-Russell Farm,Smith,1902,
Willis Farm,Sumner,1837,
Willis Springs Farm,Polk,1871,
Willow Creek Farm,Williamson,1915,
Willow Wood,Bedford,1841,
WillowBranch Farm,Washington,1896,
Wilson Capshaw Farms,Clay,1872,
Wilson Family Farm,Williamson,1893,
Wilson Farm,Robertson,1920,
Wilson Farm,McMinn,1864,
Wilson Hill Farm,Marshall,1821,
Windy Hill,Wilson,1789,Pioneer Century Farm
Windy Hill Farm,Warren,1906,
Windy Ridge Farm,Houston,1910,
Wine Farm,Jefferson,1874,
Wolf Farm,Robertson,1890,
Wolfe Farm,Monroe,1877,
Wolfenbarger Farm,Union,1903,
Womack Farm,Dekalb,1918,
Wood Farm,Fentress,1907,
Wood Farm,Pickett,1870,Woman Founder
Woodard Farm,Jackson,1892,
Woodard Hall,Robertson,1792,NR Pioneer Century Farm
Woodard Hereford Farm,Robertson,1850,
Woodhaven,Wilson,1869,
Woodland View,Williamson,1820,
Woodlawn Farm,Bedford,1798,
Woods Farm,Washington,1908,
Woolsey Overlook Farms,Greene,1779,Pioneer Century Farm
Wooten-Kimbro Farm,Bedford,1910,
Worley Farms,Rutherford,1814,
Worthington-Shockley Farm,Van Buren,1908,
Wright Farm,Stewart,1892,
Wright Farm,Bedford,1907,
Wright Farm,Hamblen,1872,
Wright Farm,Johnson,1789,NR Pioneer Century Farm
Wright Farm,Smith,1894,
Wright Jennings Farm,Wilson,1873,
Wright Way Farm,Lincoln,1882,
Wyatt Farm,Montgomery,1914,
Wyly C. Lockhart Hereford Farms,Benton,1865,
Wynns Farm,Henry,1846,
Yancey Place,Fayette,1885,
Yarbrough Farm,Gibson,1917,
Yarbrough Farm,Hardeman,1914,
Yarnell Family Farm,Knox,1898,
Yates Amazing Grazeland Farm,Lewis,1919,
Yates Cave Farm,Robertson,1906,
Yates Farm,Robertson,1917,
Yeargin Farm,Weakley,1898,
Young Acres Farm,Wilson,1821,
Young Farm,Putnam,1902,
Young Farm of Stonewall,Smith,1878,
